table,column,expectation,min_value,max_value,strict_min,strict_max,mostly,threshold,column_list,severity,meta
READINGS,READING_ID,ExpectColumnValuesToBeUnique,,,,,,,,critical,"{""notes"": ""primary key must be unique""}"
READINGS,STATION_ID,ExpectColumnValuesToNotBeNull,,,,,1.0,,,critical,"{""notes"": ""a reading with no station cannot be attributed to anyone""}"
READINGS,READING_TS,ExpectColumnValuesToBeDateutilParseable,,,,,1.0,,,critical,"{""notes"": ""a reading with a garbled timestamp cannot be trended""}"
READINGS,HUMIDITY_PCT,ExpectColumnValuesToBeBetween,0,100,false,false,1.0,,,critical,"{""notes"": ""humidity is a percentage; it cannot exceed 100""}"
READINGS,TEMPERATURE_F,ExpectColumnValuesToBeBetween,-40,130,false,false,1.0,,,critical,"{""notes"": ""generous bound for any US home weather station; -999 is a dead-sensor sentinel, not a real reading""}"
READINGS,PRESSURE_HPA,ExpectColumnValuesToNotBeNull,,,,,1.0,,,warning,"{""notes"": ""a missing pressure reading means the barometer sensor dropped out""}"
READINGS,PRESSURE_HPA,ExpectColumnValuesToBeBetween,930,1085,false,false,1.0,,,warning,"{""notes"": ""outside this range the station is almost certainly malfunctioning, not measuring real weather""}"
READINGS,WIND_SPEED_MPH,ExpectColumnValuesToBeBetween,0,150,false,false,1.0,,,warning,"{""notes"": ""wind speed cannot be negative""}"
READINGS,RAINFALL_IN,ExpectColumnValuesToBeBetween,0,20,false,false,1.0,,,warning,"{""notes"": ""rainfall cannot be negative (0 itself -- no rain -- is a valid, common reading)""}"
READINGS,BATTERY_PCT,ExpectColumnValuesToBeBetween,0,100,false,false,1.0,,,warning,"{""notes"": ""battery is a percentage; 100 itself is a valid, common reading""}"
READINGS,TEMPERATURE_F,ExpectColumnStdevToBeBetween,0,20,false,false,,,,warning,"{""notes"": ""flex check: a single wild sensor reading blows out the whole day\u2019s spread, not just its own bound""}"
READINGS,"STATION_ID, READING_TS",ExpectCompoundColumnsToBeUnique,,,,,,,"[""STATION_ID"", ""READING_TS""]",critical,"{""notes"": ""a station cannot log two different readings at the exact same timestamp""}"
READINGS,READING_ID,ExpectTableRowCountToBeBetween,50,500,false,false,,,,info,"{""notes"": ""sanity bound on table size""}"
